kid,character,strokes,grade,jlpt,readings,translation,freq,rank
1080,図,7,2,3,ズ、ト、はか-る,drawing; plan; figure; cut; chart; diagram; illustration; graph,79453,593
561,固,8,4,2,コ、かた-める、かた-まる、かた-い,harden; stiffen; solidify; set; settle; congeal; clot; curdle; conglomerate; get together; be devoted to; settle down (weather) ,41792,852
661,国,8,2,4,コク、くに,country,1703390,5
529,圏,12,7,1,ケン,sphere; circle; range; radius,17687,1200
95,園,13,2,2,エン、その,garden; yard; plantation; farm,101424,483
1493,土,3,1,4,ド、ト、つち,earth; ground; Saturday; Turkey,122433,409
8,圧,5,5,2,アツ,press; oppress; dominate; overwhelm,58313,711
717,在,6,5,2,ザイ、あ-る,outskirts; suburbs; country ,307776,150
1355,地,6,2,3,チ、ジ,earth; land; ground; the surface of the earth; soil; place; region; territory; room; space; position; site; foundation. texture; weave; fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact,627071,42
1663,坂,7,3,2,ハン、さか,incline; slope; hill,58672,708
430,均,7,5,2,キン,to level; to average,41745,853
1855,坊,7,7,2,ボウ、[ボッ],priest's residence; (Buddhist) priest; boy,20907,1122
604,坑,7,7,1,コウ,pit; hole,629,2024
1434,坪,8,7,1,つぼ,-,5882,1603
1083,垂,8,6,1,スイ、た-れる、た-らす,suspend; hang down; slouch,3553,1750
476,型,9,4,2,ケイ、かた,model; mold; matrix; impression; style; type; pattern; make; set form; usage,91041,530
208,垣,9,7,1,かき,-,17620,1203
1899,埋,10,7,2,マイ、う-める、う-まる、う-もれる,be filled up; be buried; be imbedded in ,18917,1178
1015,城,9,6,2,ジョウ、しろ,castle,82540,580
39,域,11,6,2,イキ,region; limits; stage; level,98814,490
834,執,11,7,1,シツ、シュウ、と-る,take; hold; seize; catch; capture; fetch; receive; procure; obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick; pluck; make; produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed; catch (fish); deprive of; steal; capture (territory); annex; need; require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess,34802,940
1625,培,11,7,1,バイ、つちか-う,cultivate; foster,8322,1483
321,基,11,5,1,キ、もと、もとい,radical (in chemistry); counter for lanterns; wreaths; motors; silos; and heavy machines; foundation; fundamentals; basis,183500,267
716,埼,11,7,-,[さい],-,40496,874
1885,堀,11,7,1,ほり,-,26572,1034
1540,堂,11,4,3,ドウ,temple; shrine; hall; reception room; firm; state chamber. shop; store,31216,982
530,堅,12,7,2,ケン、かた-い,hard; solid; tough; rigid; tight; steady; firm; strict; safe; reliable; upright; chaste; constant; stiff; bookish; classical; stubborn,21305,1115
1303,堆,11,7,-,タイ,piled high,708,2011
1290,堕,12,7,1,ダ,descend to; lapse into; degenerate,747,2004
1453,堤,12,7,1,テイ、つつみ,dike; bank; embankment,7046,1534
265,堪,12,7,1,カン、た-える,endure; support; withstand; resist; brave; weather; be fit for; be equal to,1822,1883
1846,報,12,5,2,ホウ、むく-いる,news; report; reward; retribution ,362295,112
1020,場,12,2,3,ジョウ、ば,place; grounds; links; range; course; track; ring,643257,38
1796,塀,12,7,1,ヘイ,wall; fence,1184,1949
2085,塁,12,7,1,ルイ,fort; rampart; walls; base (in baseball),86058,553
189,塊,13,7,1,カイ、かたまり,lump; chunk; clod; mass; clot; ingot,4858,1661
1214,塑,13,7,1,ソ,modeling; molding,199,2105
1518,塔,12,7,2,トウ,tower; pagoda; steeple; obelisk; monument,5605,1620
1491,塗,13,7,2,ト、ぬ-る,paint; plaster; daub; lacquer ,6955,1539
1432,塚,12,7,1,つか,-,39408,880
712,塞,13,7,-,サイ、ソク、ふさ-ぐ、ふさ-がる,close; shut; cover; block; wall up obstruct; fill; occupy,3791,1740
100,塩,13,4,2,エン、しお,salt,21528,1111
1479,填,13,7,-,テン,go into; fit into; fall into; plunge into; be deceived,67,2133
924,塾,14,7,1,ジュク,private school; boarding school; gate house,9799,1437
413,境,14,5,2,キョウ、[ケイ]、さかい,boundary; region; condition; stage,107562,458
1825,墓,13,5,1,ボ、はか,grave; tomb,9482,1443
1256,増,14,5,2,ゾウ、ま-す、ふ-える、ふ-やす,increase,202667,249
1429,墜,15,7,1,ツイ,fall,6103,1587
1881,墨,14,7,1,ボク、すみ,India ink; Chinese ink; ink stick; inked marking string; ink (of a squid) ,6475,1570
1782,墳,15,7,1,フン,mound; tomb,3436,1759
680,墾,16,7,1,コン,open up farmland,175,2112
1802,壁,16,7,1,ヘキ、かべ,wall; lining (of the stomach); fence; partition,23779,1075
1354,壇,16,7,1,ダン、[タン],stage; rostrum; dais; terrace; altar; world (of literature; etc.),7863,1502
193,壊,16,7,1,カイ、こわ-す、こわ-れる,break,49235,782
1024,壌,16,7,1,ジョウ,earth; soil,8836,1463
759,士,3,4,1,シ,samurai; man; gentleman; scholar,143794,347
1218,壮,6,7,1,ソウ,manhood; prosperity,6473,1571
1110,声,7,2,2,セイ、[ショウ]、こえ、[こわ],voice; tone; alarm; cry; (bird) song; chirp,115043,436
42,壱,7,7,1,イチ,one,649,2020
1622,売,7,2,3,バイ、う-る、う-れる,selling,214276,234
1810,変,9,4,2,ヘン、か-わる、か-える,change; accident; calamity; uprising; something strange ,183042,269
146,夏,10,2,3,カ、[ゲ]、なつ,summer,62568,679
1138,夕,3,1,3,セキ、ゆう,evening,26561,1035
197,外,5,2,4,ガイ、ゲ、そと、ほか、はず-す、はず-れる,outside; without; beside; beyond the scope off,396147,98
1285,多,6,2,3,タ、おお-い,much,278725,163
1953,夜,8,2,3,ヤ、よ、よる,night,70624,631
1923,夢,13,5,2,ム、ゆめ,dream; vision; illusion; delusion; reverie,36345,922
1312,大,3,1,4,ダイ、タイ、おお、おお-きい、おお-いに,large; huge; grand; the greater; size; very; inveterate (smoker); severe (damage); success,1825235,2
1472,天,4,1,4,テン、あめ、[あま],sky; air; heavens; celestial sphere; firmament; heaven; Providence; God; Nature; destiny; weather; top; beginning ,114146,441
1293,太,4,2,2,タイ、タ、ふと-い、ふと-る,get fat; gain; fill out,124854,402
1737,夫,4,4,2,フ、[フウ]、おっと,husband; man,159635,313
107,央,5,3,2,オウ,middle,69884,633
831,失,5,4,2,シツ、うしな-う,error; fault; disadvantage; loss; demerit,123666,405
310,奇,8,7,1,キ,strangeness; curiosity; eccentricity,10880,1393
1569,奈,8,7,-,ナ,what,67069,654
1833,奉,8,7,1,ホウ、[ブ]、たてまつ-る,present; dedicate; obey; follow; believe in; serve ,4794,1666
1222,奏,9,6,1,ソウ、かな-でる,play (an instrument),21985,1103
477,契,9,7,1,ケイ、ちぎ-る,pledge; vow; swear; promise,42071,848
1887,奔,8,7,1,ホン,run,2358,1846
116,奥,12,7,2,オウ、おく,heart; interior,25414,1048
998,奨,13,7,1,ショウ,urge; encourage,10638,1402
1330,奪,14,7,1,ダツ、うば-う,take by force; snatch away; oust; deprive of; disposess; plunder; usurp; absorb (attention); fascinate,38243,892
1784,奮,16,6,1,フン、ふる-う,be invigorated; be spirited; flourish,8951,1461
952,女,3,1,4,ジョ、ニョ、[ニョウ]、おんな、め,woman; girl; daughter,329980,133
1494,奴,5,7,-,ド,manservant; slave; fellow,2186,1858
600,好,6,4,2,コウ、この-む、す-く,like; be fond of,114754,438
