Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
2329,憲法,けんぽう,constitution; constitutional law,JLPT2,Noun
2252,扱う,あつかう,handle; deal with,JLPT2,Verb
4635,展覧会,てんらんかい,exhibition,JLPT3,Noun
2235,資産,しさん,property; assets,JLPT1,Noun
4335,非難,ひなん,criticism; blame,JLPT1,Verbal Noun
5122,総理大臣,そうりだいじん,prime minister,JLPT2,Noun
5720,大臣,だいじん,minister,JLPT2,Noun
3155,休業,きゅうぎょう,suspension of business; closure,JLPT2,Verbal Noun
4168,臨む,のぞむ,be present at,JLPT1,Verb
4371,臨時,りんじ,temporary; provisional,JLPT2,Noun
2409,改造,かいぞう,remodeling; reorganization,JLPT2,Verbal Noun
4072,内閣,ないかく,cabinet,JLPT1,Noun
4814,闘う,たたかう,fight,JLPT0,Verb
4160,派閥,はばつ,clique; faction,JLPT0,Noun
4414,分裂,ぶんれつ,division; split,JLPT1,Verbal Noun
3073,衰える,おとろえる,weaken; decline,JLPT1,Verb
4564,振り返る,ふりかえる,turn one's head; turn round,JLPT1,Verb
5016,懐かしい,なつかしい,longed-for; old,JLPT2,Adjective
2937,惜しむ,おしむ,grudge; regret,JLPT1,Verb
3397,惜しい,おしい,almost; close,JLPT2,Adjective
2620,火山,かざん,volcano,JLPT2,Noun
4316,噴火,ふんか,eruption; volcanic activity,JLPT2,Verbal Noun
5355,噴水,ふんすい,jet; fountain,JLPT2,Noun
3123,恨み,うらみ,grudge; hatred,JLPT2,Noun
3440,恨む,うらむ,hold a grudge; feel resentment,JLPT2,Verb
5133,不愉快,ふゆかい,unpleasant; disagreeable,JLPT0,Adjectival Noun
5172,愉快,ゆかい,pleasant; delightful,JLPT2,Adjectival Noun
2670,覚悟,かくご,readiness; resolution,JLPT2,Noun
2176,追う,おう,chase; pursue,JLPT2,Verb
3169,親指,おやゆび,thumb,JLPT2,Noun
3348,怪しい,あやしい,suspicious; dubious,JLPT2,Adjective
3583,怪しむ,あやしむ,suspect,JLPT0,Verb
3903,軍,ぐん,army; troops,JLPT2,Noun
3979,鋭い,するどい,pointed; acute,JLPT2,Adjective
4122,防ぐ,ふせぐ,prevent; defend,JLPT2,Verb
4263,復活,ふっかつ,revival; rebirth,JLPT1,Verbal Noun
4271,付近,ふきん,neighborhood; environs,JLPT2,Noun
4736,手当て,てあて,allowance; medical care,JLPT0,Verbal Noun
5584,人差し指,ひとさしゆび,index finger,JLPT0,Noun
2289,限界,げんかい,boundary; limit,JLPT2,Noun
2812,自慢,じまん,showing off,JLPT2,Verbal Noun
2893,感心,かんしん,admiration,JLPT2,Verbal Noun
2929,少々,しょうしょう,a little; a few,JLPT2,Noun
3755,下品,げひん,vulgar; low,JLPT2,Adjective
4646,漫画,まんが,manga; comics,JLPT3,Noun
2327,囲む,かこむ,enclose; encircle,JLPT2,Verb
2844,食卓,しょくたく,dining table,JLPT2,Noun
4742,元,もと,origin; source,JLPT2,Noun
4827,電卓,でんたく,pocket calculator,JLPT0,Noun
2260,歓迎,かんげい,welcome,JLPT2,Verbal Noun
2065,医師,いし,doctor; physician,JLPT2,Noun
3031,勧める,すすめる,suggest; recommend,JLPT2,Verb
3412,焦る,あせる,feel pressured; feel hurried,JLPT1,Verb
